ID, 상품이름, 상품종류, 상품가격
db7b9c07-4d50-41a8-bc3a-969808f9bf5a, 토피넛라떼, COFFEE, 4000₩
2b7dd011-3695-4a09-8b6c-ec773262eed2, 프라푸치노, ADE, 5500₩
c3a13dd7-1f48-4386-84c8-7e379add8415, 카라멜 마끼아또, COFFEE, 4000₩
6cac5e39-c1a6-471d-9551-3e2d242ece3d, 프레즐, BREAD, 3000₩
ce464dea-c8a0-4ccb-9341-0545eeb60881, 아메리카노, COFFEE, 3000₩
872134d9-9725-47f4-aede-339b3c1b69d5, 초코머핀, BREAD, 4000₩
c16e8e1d-6dcd-4dfe-934e-e5df3ac2f23d, 크로플, BREAD, 4000₩
c10fb315-951d-404b-ac60-365f92990481, 캐모마일, TEA, 4500₩
a85aacf7-16da-4bcf-96d9-3b1dcb9c0a09, 초코케잌, CAKE, 6000₩
feb98779-3883-44b5-92f6-fc559c240f0b, 당근케잌, CAKE, 6000₩
b2d0248b-e209-4ac2-97a5-e5ec26a7d9c3, 카라멜 마끼아또, COFFEE, 4000₩
b4b1517c-5202-45a2-8497-46315fb79e29, 에스프레소, COFFEE, 3500₩
f04d5943-be6a-4515-af4c-2a4b32102d8d, 카라멜 마끼아또, COFFEE, 4000₩
4ca465dc-b71a-4c9a-93d2-564041de351b, 에스프레소, COFFEE, 3500₩
2acb0a2a-ae08-401d-90f2-49db8a8f0c16, 크로플, BREAD, 4000₩
94ea1b01-196b-4299-8875-d7697158b51f, 레몬에이드, ADE, 5000₩
46a9034c-5b99-4964-9e10-77e0eabb97fa, 생과일주스, ADE, 5000₩
61ce4ad7-d7fc-4d7f-9074-e3632c4e7232, 얼그레이, TEA, 4500₩
34b0197d-8dfe-4664-8dd3-fa89c7329019, 민트모카, COFFEE, 4000₩
aa14f358-87f5-4133-a906-55ae99793da2, 소금빵, BREAD, 3000₩
e1508fb1-4d97-44b9-98a2-81193a4d414c, 소금빵, BREAD, 3000₩
810c5d7b-4606-48aa-a12a-483ed922ef20, 프레즐, BREAD, 3000₩
12776737-6a0e-4f6e-950e-9322a15fa744, 프레즐, BREAD, 3000₩
9e345d79-fabd-4bc3-a27a-3b7d83f8ae2b, 레몬에이드, ADE, 5000₩
e5387745-a304-41b0-b5bf-278525109b94, 민트모카, COFFEE, 4000₩
7d075e9a-d3aa-42e6-bc27-bdb368cc6db7, 카페라떼, COFFEE, 3500₩
c5ce5bbb-96e7-4b8f-9e59-a6f6e1d37a29, 초코머핀, BREAD, 4000₩
5142c166-cf66-44af-b68d-e07162eb8d7a, 소금빵, BREAD, 3000₩
2ec673a2-1154-493a-b2d5-bf87b10212da, 크로플, BREAD, 4000₩
452f246f-ad62-444d-94cd-edd5d0c6d261, 레몬에이드, ADE, 5000₩
e4e29712-e2a9-4aca-bf16-8f7036ce6fab, 크로플, BREAD, 4000₩
6ae15b41-426f-4f71-a8ac-65d8af0de49f, 카페라떼, COFFEE, 3500₩
4f25664e-4888-428b-9f04-a8b9c6d17ca9, 당근케잌, CAKE, 6000₩
d8e970f5-389e-4314-a1a4-db781a09c3d8, 카페모카, COFFEE, 3500₩
c40aef45-554d-48a4-93be-2f7e06d98f7d, 레몬에이드, ADE, 5000₩
b07f0c76-f0db-464d-a616-b53d6cb3948b, 아메리카노, COFFEE, 3000₩
25f23e0b-5837-4411-a42a-8cc7e662885f, 생과일주스, ADE, 5000₩
019bd386-ee41-49c9-a395-4c969252fc33, 생과일주스, ADE, 5000₩
0ecede89-71f8-42b4-9267-a9e1e0e9c1a0, 카페라떼, COFFEE, 3500₩
a3f700fe-6a46-4332-aa69-cd039f140a8b, 레몬에이드, ADE, 5000₩
60af9179-83ff-4112-ad48-acb90556b728, 프레즐, BREAD, 3000₩
ccf7aee2-da8d-4b6a-a8d8-e93a90d811c5, 아메리카노, COFFEE, 3000₩
6f132580-1fe3-4aa6-9197-d2ebca6c8486, 민트모카, COFFEE, 4000₩
a01f5bd3-ee38-47ed-b181-61f7e49c1463, 에스프레소, COFFEE, 3500₩
509b4d33-8d89-4fe3-9469-4afd4f1ed3b5, 초코머핀, BREAD, 4000₩
7b95ec47-7eb9-4a13-8351-4259ac12ceda, 히비스커스, TEA, 4500₩
9008def3-2180-4174-bc0f-1812611133bf, 에스프레소, COFFEE, 3500₩
89cadc84-4a67-40a8-ae87-56d2934201f9, 생과일주스, ADE, 5000₩
