ID, 상품이름, 상품종류, 상품가격
c613e3d0-6e86-4571-889a-1fe661e91de3, 크로플, BREAD, 4000₩
74b47cba-f3eb-4e95-b619-430b4e5ac585, 히비스커스, TEA, 4500₩
1a2a0cd7-50b2-49b6-a08c-8509d6767ccd, 민트모카, COFFEE, 4000₩
fa97c360-d19b-40ca-8b44-d6e48d3f6f07, 캐모마일, TEA, 4500₩
d6b7f800-9638-496e-b49b-82a07c6a3e8e, 아메리카노, COFFEE, 3000₩
e7ad48ea-e997-428e-b340-da3f1b825f8c, 카라멜 마끼아또, COFFEE, 4000₩
7b105198-0419-4f3f-8151-a572c256d359, 프레즐, BREAD, 3000₩
8e77c78f-f467-4b3e-9423-f601c3aafb1b, 초코머핀, BREAD, 4000₩
664fe136-26ad-4007-9eeb-ac7e1c546f6a, 레몬에이드, ADE, 5000₩
980d0030-4051-474f-bdbd-45790b4f6b88, 아메리카노, COFFEE, 3000₩
