ID, 상품이름, 상품종류, 상품가격
356e4889-a922-47cb-9aa7-9e45fa8d3dfa, 프레즐, BREAD, 3000₩
2b9f2fa4-b233-4bc2-9c77-1ccdc5a5dbbe, 아메리카노, COFFEE, 3000₩
a133b656-754e-44a4-abbc-9dc55a8492c1, 민트모카, COFFEE, 4000₩
c305cfbe-af7d-4347-b534-ad6bcffe101d, 프레즐, BREAD, 3000₩
a61fac37-7613-4ecd-9fca-1fb0b302951e, 소금빵, BREAD, 3000₩
4abe24e5-8a29-435b-98d7-70949f0f8336, 당근케잌, CAKE, 6000₩
9ecb4ee9-55a7-4233-8214-7bfe9d323a2d, 당근케잌, CAKE, 6000₩
a3b16a98-1444-42c0-8a68-1e645abd7eba, 프라푸치노, ADE, 5500₩
c8deabbd-d3e6-40cf-9c12-30d68bdbb15f, 아메리카노, COFFEE, 3000₩
f07400c4-6973-4f6f-80a0-a74452bd901a, 토피넛라떼, COFFEE, 4000₩
